Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Moniter HZ,GPU,Resolution,Mousepad,Keyboard,Headset
MOUZ,al0rante,Razer Viper V2 Pro,"1,000",400,0.35,140,1,BenQ XL2546,240,,1920x1080,Razer Gigantus V2,Razer Huntsman TE,HyperX Cloud II
Shopify Rebellion,moose,Pwnage Ultra Custom,"1,000",400,0.628,251,1,BenQ XL2546,240,GTX 1080,1920x1080,Logitech G640,CM MasterKeys Pro S,HyperX Cloud II
Knights,Genghsta,Razer Viper Ultimate,"1,000","1,600",0.115,184,1,BenQ XL2546,240,GTX 1080,1920x1080,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud II
SMB,glovee,Xtrfy M42,"1,000",400,0.525,210,1,BenQ XL2546,240,RTX 3060,1024x768,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
SMB,Brave,Logitech G Pro Wireless,"1,000",400,0.85,340,1,BenQ XL2546K,240,,1920x1080,Logitech G640,HyperX Alloy FPS,Logitech G Pro X Headset
SMB,Izzy,Logitech G Pro X Superlight,"1,000",400,0.56,224,0.852,BenQ XL2546,240,,1920x1080,,Corsair K70 LUX,HyperX Cloud II
NYFU (B),vice,Logitech G Pro Wireless,"1,000",800,0.245,196,1,BenQ XL2546,240,GTX 1080 Ti,1280x960,HyperX FURY S Speed Edition,Logitech G915 TKL,HyperX Cloud Revolver S
NYFU,YaBoiDre,Logitech G Pro Wireless,"1,000",800,0.314,251,1,Alienware AW2518H,240,GTX 1080 Ti,1920x1080,HyperX FURY S Speed Edition,Logitech G Pro Mechanical Keyboard,Bose QC20
EG,C0M,Logitech G Pro Wireless,"1,000",800,0.25,200,1,BenQ XL2546,240,GTX 1060,1680x1050,Logitech G640,Logitech G610,HyperX Cloud II
Prodigy,JEROME,Logitech MX518 Legendary,"1,000",800,0.471,376,1,BenQ XL2546,240,,1280x960,SteelSeries QcK+,HyperX Alloy FPS,HyperX Cloud Earbuds
Sector One,iDex,Razer DeathAdder V3 Pro,"1,000",800,0.244,195,1,BenQ XL2546,240,,1920x1080,Zowie G-SR-SE,Ducky MIYA Pro Sakura,HyperX Cloud Alpha
INTERPOL,deM0,Logitech G Pro Wireless,"1,000",400,0.624,249,0.624,BenQ XL2411,144,GTX 1060,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud Alpha PE
INTERPOL,cry0,Zowie EC1,"1,000",400,0.471,188,1,BenQ XL2540,240,RTX 2070 Super,1920x1080,Zowie G-SR,Logitech G513,Sennheiser GSP 500
